real bug diagnose sim,unreal bug diagnose sim,precision,recall,original precision,original recall
0.6,0.4,0.4165642411833216,0.4165642411833216,0.268871689662461,0.268871689662461
0.6,0.3,0.6147330007082901,0.6147330007082901,0.268871689662461,0.268871689662461
0.6,0.2,0.7892238737347116,0.7892238737347116,0.268871689662461,0.268871689662461
0.6,0.1,0.9490628985188037,0.9490628985188037,0.268871689662461,0.268871689662461
0.7,0.4,0.5313292759475492,0.5313292759475492,0.268871689662461,0.268871689662461
0.7,0.3,0.7169995210083562,0.7169995210083562,0.268871689662461,0.268871689662461
0.7,0.2,0.8560211437876742,0.8560211437876742,0.268871689662461,0.268871689662461
0.7,0.1,0.9673039552891564,0.9673039552891564,0.268871689662461,0.268871689662461
0.8,0.4,0.6285705285883704,0.6285705285883704,0.268871689662461,0.268871689662461
0.8,0.3,0.7908793930708357,0.7908793930708357,0.268871689662461,0.268871689662461
0.8,0.2,0.8987339980910355,0.8987339980910355,0.268871689662461,0.268871689662461
0.8,0.1,0.9778575279934628,0.9778575279934628,0.268871689662461,0.268871689662461
0.9,0.4,0.7067298097296424,0.7067298097296424,0.268871689662461,0.268871689662461
0.9,0.3,0.8433937426911091,0.8433937426911091,0.268871689662461,0.268871689662461
0.9,0.2,0.9266749947963153,0.9266749947963153,0.268871689662461,0.268871689662461
0.9,0.1,0.9843472368950114,0.9843472368950114,0.268871689662461,0.268871689662461
1,0.4,0.7677476817235264,0.7677476817235264,0.268871689662461,0.268871689662461
1,0.3,0.8807741737391201,0.8807741737391201,0.268871689662461,0.268871689662461
1,0.2,0.9454624081714335,0.9454624081714335,0.268871689662461,0.268871689662461
1,0.1,0.9885405386817262,0.9885405386817262,0.268871689662461,0.268871689662461
0.6,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.7,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.7,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.7,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.7,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.8,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.8,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.8,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.8,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.9,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.9,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.9,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.9,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
1,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
1,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
1,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
1,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.4,0.9999999999999982,0.9999999999999982,0.9999999999639954,0.9999999999639954
0.6,0.3,1.0,1.0,0.9999999999639954,0.9999999999639954
0.6,0.2,1.0,1.0,0.9999999999639954,0.9999999999639954
0.6,0.1,1.0,1.0,0.9999999999639954,0.9999999999639954
0.7,0.4,0.9999999999999988,0.9999999999999988,0.9999999999639954,0.9999999999639954
0.7,0.3,1.0,1.0,0.9999999999639954,0.9999999999639954
0.7,0.2,1.0,1.0,0.9999999999639954,0.9999999999639954
0.7,0.1,1.0,1.0,0.9999999999639954,0.9999999999639954
0.8,0.4,0.9999999999999991,0.9999999999999991,0.9999999999639954,0.9999999999639954
0.8,0.3,1.0,1.0,0.9999999999639954,0.9999999999639954
0.8,0.2,1.0,1.0,0.9999999999639954,0.9999999999639954
0.8,0.1,1.0,1.0,0.9999999999639954,0.9999999999639954
0.9,0.4,0.9999999999999993,0.9999999999999993,0.9999999999639954,0.9999999999639954
0.9,0.3,1.0,1.0,0.9999999999639954,0.9999999999639954
0.9,0.2,1.0,1.0,0.9999999999639954,0.9999999999639954
0.9,0.1,1.0,1.0,0.9999999999639954,0.9999999999639954
1,0.4,0.9999999999999994,0.9999999999999994,0.9999999999639954,0.9999999999639954
1,0.3,1.0,1.0,0.9999999999639954,0.9999999999639954
1,0.2,1.0,1.0,0.9999999999639954,0.9999999999639954
1,0.1,1.0,1.0,0.9999999999639954,0.9999999999639954
0.6,0.4,0.0,0.0,0.0,0.0
0.6,0.3,0.0,0.0,0.0,0.0
0.6,0.2,0.0,0.0,0.0,0.0
0.6,0.1,0.0,0.0,0.0,0.0
0.7,0.4,0.0,0.0,0.0,0.0
0.7,0.3,0.0,0.0,0.0,0.0
0.7,0.2,0.0,0.0,0.0,0.0
0.7,0.1,0.0,0.0,0.0,0.0
0.8,0.4,0.0,0.0,0.0,0.0
0.8,0.3,0.0,0.0,0.0,0.0
0.8,0.2,0.0,0.0,0.0,0.0
0.8,0.1,0.0,0.0,0.0,0.0
0.9,0.4,0.0,0.0,0.0,0.0
0.9,0.3,0.0,0.0,0.0,0.0
0.9,0.2,0.0,0.0,0.0,0.0
0.9,0.1,0.0,0.0,0.0,0.0
1,0.4,0.0,0.0,0.0,0.0
1,0.3,0.0,0.0,0.0,0.0
1,0.2,0.0,0.0,0.0,0.0
1,0.1,0.0,0.0,0.0,0.0
0.6,0.4,0.03826425082256529,0.03826425082256529,0.048724321719244464,0.048724321719244464
0.6,0.3,0.05050219453354635,0.05050219453354635,0.048724321719244464,0.048724321719244464
0.6,0.2,0.07399374576149698,0.07399374576149698,0.048724321719244464,0.048724321719244464
0.6,0.1,0.13789201926554312,0.13789201926554312,0.048724321719244464,0.048724321719244464
0.7,0.4,0.05942291396832683,0.05942291396832683,0.048724321719244464,0.048724321719244464
0.7,0.3,0.07787998005115374,0.07787998005115374,0.048724321719244464,0.048724321719244464
0.7,0.2,0.11259636999395795,0.11259636999395795,0.048724321719244464,0.048724321719244464
0.7,0.1,0.20253913126067657,0.20253913126067657,0.048724321719244464,0.048724321719244464
