real bug diagnose sim,unreal bug diagnose sim,precision,recall,original precision,original recall
0.6,0.4,0.5782560026620228,0.5782560026620228,0.268871689662461,0.268871689662461
0.6,0.3,0.7084085986908389,0.7084085986908389,0.268871689662461,0.268871689662461
0.6,0.2,0.884438848596242,0.884438848596242,0.268871689662461,0.268871689662461
0.6,0.1,0.9724695993280896,0.9724695993280896,0.268871689662461,0.268871689662461
0.7,0.4,0.615330420906296,0.615330420906296,0.268871689662461,0.268871689662461
0.7,0.3,0.7392017952745336,0.7392017952745336,0.268871689662461,0.268871689662461
0.7,0.2,0.8992854300754649,0.8992854300754649,0.268871689662461,0.268871689662461
0.7,0.1,0.9763094743060656,0.9763094743060656,0.268871689662461,0.268871689662461
0.8,0.4,0.6464121204340805,0.6464121204340805,0.268871689662461,0.268871689662461
0.8,0.3,0.7641115105745282,0.7641115105745282,0.268871689662461,0.268871689662461
0.8,0.2,0.9107510999027643,0.9107510999027643,0.268871689662461,0.268871689662461
0.8,0.1,0.979209204625354,0.979209204625354,0.268871689662461,0.268871689662461
0.9,0.4,0.6728468694310105,0.6728468694310105,0.268871689662461,0.268871689662461
0.9,0.3,0.784677982708735,0.784677982708735,0.268871689662461,0.268871689662461
0.9,0.2,0.919873148883227,0.919873148883227,0.268871689662461,0.268871689662461
0.9,0.1,0.9814765235098117,0.9814765235098117,0.268871689662461,0.268871689662461
1,0.4,0.6956037643451182,0.6956037643451182,0.268871689662461,0.268871689662461
1,0.3,0.8019456379611067,0.8019456379611067,0.268871689662461,0.268871689662461
1,0.2,0.9273033385379383,0.9273033385379383,0.268871689662461,0.268871689662461
1,0.1,0.98329793312452,0.98329793312452,0.268871689662461,0.268871689662461
0.6,0.4,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.3,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.2,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
0.6,0.1,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695
